Id,GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
1400000US48201222502,48201222502,Census Tract 2225.02, Harris County, Texas,3852,622,0.161474559
1400000US48201222503,48201222503,Census Tract 2225.03, Harris County, Texas,8003,3500,0.437335999
1400000US48201222600,48201222600,Census Tract 2226, Harris County, Texas,4803,2916,0.60712055
1400000US48201222700,48201222700,Census Tract 2227, Harris County, Texas,5099,2532,0.496567955
1400000US48201222800,48201222800,Census Tract 2228, Harris County, Texas,3501,441,0.12596401
1400000US48201222900,48201222900,Census Tract 2229, Harris County, Texas,8957,2663,0.297309367
1400000US48201223001,48201223001,Census Tract 2230.01, Harris County, Texas,3265,1115,0.341500766
1400000US48201223002,48201223002,Census Tract 2230.02, Harris County, Texas,3948,1667,0.422239108
1400000US48201223100,48201223100,Census Tract 2231, Harris County, Texas,2081,735,0.353195579
1400000US48201230100,48201230100,Census Tract 2301, Harris County, Texas,1671,924,0.552962298
1400000US48201230200,48201230200,Census Tract 2302, Harris County, Texas,5416,1647,0.304098966
1400000US48201230300,48201230300,Census Tract 2303, Harris County, Texas,1994,1025,0.514042126
